old_id,new_filename,category
49536,bags0001,Bags
4674,bags0002,Bags
47395,bags0003,Bags
51920,bags0004,Bags
21941,bags0005,Bags
10731,bags0006,Bags
37417,bags0007,Bags
54504,bags0008,Bags
57837,bags0009,Bags
4614,bags0010,Bags
38444,bags0011,Bags
31609,bags0012,Bags
7123,bags0013,Bags
38967,bags0014,Bags
20610,bags0015,Bags
18043,bags0016,Bags
21990,bags0017,Bags
58276,bags0018,Bags
18041,bags0019,Bags
37068,bags0020,Bags
52589,bags0021,Bags
7091,bags0022,Bags
33434,bags0023,Bags
47689,bags0024,Bags
8227,bags0025,Bags
46974,bags0026,Bags
39508,bags0027,Bags
27666,bags0028,Bags
49521,bags0029,Bags
48191,bags0030,Bags
34550,bags0031,Bags
58275,bags0032,Bags
25150,bags0033,Bags
35925,bags0034,Bags
20965,bags0035,Bags
34887,bags0036,Bags
42890,bags0037,Bags
47961,bags0038,Bags
21488,bags0039,Bags
25299,bags0040,Bags
25156,bags0041,Bags
57230,bags0042,Bags
49067,bags0043,Bags
20616,bags0044,Bags
39509,bags0045,Bags
14810,bags0046,Bags
52639,bags0047,Bags
27045,bags0048,Bags
48357,bags0049,Bags
52652,bags0050,Bags
30197,bags0051,Bags
18427,bags0052,Bags
49551,bags0053,Bags
38427,bags0054,Bags
7102,bags0055,Bags
52577,bags0056,Bags
42838,bags0057,Bags
18797,bags0058,Bags
47381,bags0059,Bags
14811,bags0060,Bags
5270,bags0061,Bags
54032,bags0062,Bags
47140,bags0063,Bags
47297,bags0064,Bags
42846,bags0065,Bags
25121,bags0066,Bags
1646,bags0067,Bags
31931,bags0068,Bags
59428,bags0069,Bags
49561,bags0070,Bags
39932,bags0071,Bags
54500,bags0072,Bags
20962,bags0073,Bags
34762,bags0074,Bags
27057,bags0075,Bags
6537,bags0076,Bags
9576,bags0077,Bags
7116,bags0078,Bags
9918,bags0079,Bags
25168,bags0080,Bags
25186,bags0081,Bags
20509,bags0082,Bags
7065,bags0083,Bags
51906,bags0084,Bags
37854,bags0085,Bags
7058,bags0086,Bags
36035,bags0087,Bags
52570,bags0088,Bags
25284,bags0089,Bags
47911,bags0090,Bags
35198,bags0091,Bags
22645,bags0092,Bags
58278,bags0093,Bags
39926,bags0094,Bags
25143,bags0095,Bags
51961,bags0096,Bags
54388,bags0097,Bags
37857,bags0098,Bags
8522,bags0099,Bags
52561,bags0100,Bags
4676,bags0101,Bags
18007,bags0102,Bags
18793,bags0103,Bags
5253,bags0104,Bags
25119,bags0105,Bags
8231,bags0106,Bags
53981,bags0107,Bags
54398,bags0108,Bags
2663,bags0109,Bags
21519,bags0110,Bags
20961,bags0111,Bags
36038,bags0112,Bags
27711,bags0113,Bags
7098,bags0114,Bags
25157,bags0115,Bags
5300,bags0116,Bags
54823,bags0117,Bags
18033,bags0118,Bags
53991,bags0119,Bags
38447,bags0120,Bags
4582,bags0121,Bags
47330,bags0122,Bags
25859,bags0123,Bags
20517,bags0124,Bags
27732,bags0125,Bags
43277,bags0126,Bags
16075,bags0127,Bags
22565,bags0128,Bags
16750,bags0129,Bags
58926,bags0130,Bags
28447,bags0131,Bags
7610,bags0132,Bags
5874,bags0133,Bags
49068,bags0134,Bags
25257,bags0135,Bags
31934,bags0136,Bags
54496,bags0137,Bags
15294,bags0138,Bags
18040,bags0139,Bags
38692,bags0140,Bags
6553,bags0141,Bags
34765,bags0142,Bags
47380,bags0143,Bags
54035,bags0144,Bags
33457,bags0145,Bags
21526,bags0146,Bags
39879,bags0147,Bags
21933,bags0148,Bags
36052,bags0149,Bags
2656,bags0150,Bags
43571,bags0151,Bags
50240,bags0152,Bags
4687,bags0153,Bags
25167,bags0154,Bags
46623,bags0155,Bags
21952,bags0156,Bags
30190,bags0157,Bags
25274,bags0158,Bags
46982,bags0159,Bags
37080,bags0160,Bags
38434,bags0161,Bags
25877,bags0162,Bags
38682,bags0163,Bags
25160,bags0164,Bags
52654,bags0165,Bags
47386,bags0166,Bags
47392,bags0167,Bags
9578,bags0168,Bags
47304,bags0169,Bags
37260,bags0170,Bags
46984,bags0171,Bags
54394,bags0172,Bags
47388,bags0173,Bags
38737,bags0174,Bags
21192,bags0175,Bags
36983,bags0176,Bags
17985,bags0177,Bags
42853,bags0178,Bags
15291,bags0179,Bags
21939,bags0180,Bags
21934,bags0181,Bags
8516,bags0182,Bags
7854,bags0183,Bags
16746,bags0184,Bags
47148,bags0185,Bags
53905,bags0186,Bags
35901,bags0187,Bags
53680,bags0188,Bags
