id,subCategory
49536,Bags
4674,Bags
47395,Bags
51920,Bags
21941,Bags
10731,Bags
37417,Bags
54504,Bags
57837,Bags
4614,Bags
38444,Bags
31609,Bags
7123,Bags
38967,Bags
20610,Bags
18043,Bags
21990,Bags
58276,Bags
18041,Bags
37068,Bags
52589,Bags
7091,Bags
33434,Bags
47689,Bags
8227,Bags
46974,Bags
39508,Bags
27666,Bags
49521,Bags
48191,Bags
34550,Bags
58275,Bags
25150,Bags
35925,Bags
20965,Bags
34887,Bags
42890,Bags
47961,Bags
21488,Bags
25299,Bags
25156,Bags
57230,Bags
49067,Bags
20616,Bags
39509,Bags
14810,Bags
52639,Bags
27045,Bags
48357,Bags
52652,Bags
30197,Bags
18427,Bags
49551,Bags
38427,Bags
7102,Bags
52577,Bags
42838,Bags
18797,Bags
47381,Bags
14811,Bags
5270,Bags
54032,Bags
47140,Bags
47297,Bags
42846,Bags
25121,Bags
1646,Bags
31931,Bags
59428,Bags
49561,Bags
39932,Bags
54500,Bags
20962,Bags
34762,Bags
27057,Bags
6537,Bags
9576,Bags
7116,Bags
9918,Bags
25168,Bags
25186,Bags
20509,Bags
7065,Bags
51906,Bags
37854,Bags
7058,Bags
36035,Bags
52570,Bags
25284,Bags
47911,Bags
35198,Bags
22645,Bags
58278,Bags
39926,Bags
25143,Bags
51961,Bags
54388,Bags
37857,Bags
8522,Bags
52561,Bags
4676,Bags
18007,Bags
18793,Bags
5253,Bags
25119,Bags
8231,Bags
53981,Bags
54398,Bags
2663,Bags
21519,Bags
20961,Bags
36038,Bags
27711,Bags
7098,Bags
25157,Bags
5300,Bags
54823,Bags
18033,Bags
53991,Bags
38447,Bags
4582,Bags
47330,Bags
25859,Bags
20517,Bags
27732,Bags
43277,Bags
16075,Bags
22565,Bags
16750,Bags
58926,Bags
28447,Bags
7610,Bags
5874,Bags
49068,Bags
25257,Bags
31934,Bags
54496,Bags
15294,Bags
18040,Bags
38692,Bags
6553,Bags
34765,Bags
47380,Bags
54035,Bags
33457,Bags
21526,Bags
39879,Bags
21933,Bags
36052,Bags
2656,Bags
43571,Bags
50240,Bags
4687,Bags
25167,Bags
46623,Bags
21952,Bags
30190,Bags
25274,Bags
46982,Bags
37080,Bags
38434,Bags
25877,Bags
38682,Bags
25160,Bags
52654,Bags
47386,Bags
47392,Bags
9578,Bags
47304,Bags
37260,Bags
46984,Bags
54394,Bags
47388,Bags
38737,Bags
21192,Bags
36983,Bags
17985,Bags
42853,Bags
15291,Bags
21939,Bags
21934,Bags
8516,Bags
7854,Bags
16746,Bags
47148,Bags
53905,Bags
35901,Bags
53680,Bags
57462,Bags
47418,Bags
47361,Bags
36536,Bags
33633,Bags
39874,Bags
40760,Bags
3385,Bags
52579,Bags
21244,Bags
25242,Bags
36655,Bags
38443,Bags
7518,Bags
27059,Bags
35900,Bags
14815,Bags
20506,Bags
25222,Bags
2645,Bags
16760,Bags
53373,Bags
34885,Bags
51937,Bags
25249,Bags
47945,Bags
47357,Bags
13697,Bags
7088,Bags
51318,Bags
25252,Bags
51934,Bags
4680,Bags
25273,Bags
36680,Bags
53377,Bags
37696,Bags
29733,Bags
36055,Bags
53942,Bags
21557,Bags
47320,Bags
52604,Bags
52638,Bags
43147,Bags
34889,Bags
12745,Bags
46980,Bags
30202,Bags
47389,Bags
10229,Bags
33737,Bags
37952,Bags
19920,Bags
25193,Bags
37087,Bags
47146,Bags
5271,Bags
39921,Bags
27039,Bags
1623,Bags
25282,Bags
47350,Bags
37090,Bags
21753,Bags
53659,Bags
16743,Bags
8229,Bags
42852,Bags
27718,Bags
52574,Bags
37698,Bags
34871,Bags
26437,Bags
9441,Bags
47430,Bags
33771,Bags
34880,Bags
12743,Bags
41845,Bags
51932,Bags
20968,Bags
25246,Bags
27060,Bags
10226,Bags
27699,Bags
10773,Bags
22007,Bags
47400,Bags
58170,Bags
42891,Bags
36977,Bags
20621,Bags
25161,Bags
25874,Bags
27701,Bags
20959,Bags
1791,Bags
48131,Bags
48190,Bags
47328,Bags
22651,Bags
26439,Bags
4613,Bags
7096,Bags
28444,Bags
40762,Bags
17984,Bags
10736,Bags
42060,Bags
19945,Bags
57237,Bags
27724,Bags
37069,Bags
10211,Bags
43333,Bags
53673,Bags
34557,Bags
9916,Bags
54384,Bags
37433,Bags
54019,Bags
29319,Bags
37073,Bags
10222,Bags
1559,Bags
51916,Bags
13949,Bags
35181,Bags
10210,Bags
25192,Bags
54505,Bags
52569,Bags
20501,Bags
27716,Bags
53720,Bags
38448,Bags
25425,Bags
53979,Bags
21991,Bags
21532,Bags
34759,Bags
53655,Bags
1647,Bags
7062,Bags
21556,Bags
33772,Bags
9571,Bags
33230,Bags
25398,Bags
15708,Bags
34873,Bags
46979,Bags
22667,Bags
47321,Bags
21979,Bags
25887,Bags
53921,Bags
37690,Bags
9440,Bags
42864,Bags
43565,Bags
10728,Bags
36664,Bags
37432,Bags
21965,Bags
38473,Bags
49564,Bags
39483,Bags
18332,Bags
30205,Bags
50237,Bags
21253,Bags
25878,Bags
9009,Bags
47327,Bags
47372,Bags
44244,Bags
58268,Bags
22660,Bags
9794,Bags
